Year,Category,Status,Movie,MovieId,AssociatedPeople,AssociatedIds,Person,PersonId
1989,BestOriginalScore(MejorMúsicaOriginal),Nominee,Mujeres al borde de un ataque de 'nervios',tt0095675,['Bernardo Bonezzi'],['nm0005970'],,
1989,BestOriginalScreenplay(MejorGuiónOriginal),Winner,Mujeres al borde de un ataque de 'nervios',tt0095675,['Pedro Almodóvar'],['nm0000264'],,
1989,BestOriginalScreenplay(MejorGuiónOriginal),Nominee,Pasodoble,tt0095830,"['Rafael Azcona', 'José Luis García Sánchez']","['nm0044156', 'nm0305869']",,
1989,BestOriginalScreenplay(MejorGuiónOriginal),Nominee,Remando al viento,tt0093840,['Gonzalo Suárez'],['nm0840779'],,
1989,BestOriginalScreenplay(MejorGuiónOriginal),Nominee,Baton Rouge,tt0094822,"['Agustín Díaz Yanes', 'Rafael Moleón']","['nm0246503', 'nm0596571']",,
1989,BestOriginalScreenplay(MejorGuiónOriginal),Nominee,Espérame en el cielo,tt0092982,"['Antonio Mercero', 'Horacio Valcárcel', 'Román Gubern']","['nm0580318', 'nm0883553', 'nm0345549']",,
1989,BestProductionDesign(MejorDirecciónArtística),Winner,Remando al viento,tt0093840,['Wolfgang Burmann'],['nm0122214'],,
1989,BestProductionDesign(MejorDirecciónArtística),Nominee,El Dorado,tt0095053,['Terry Pritchard'],['nm0698075'],,
1989,BestProductionDesign(MejorDirecciónArtística),Nominee,Mujeres al borde de un ataque de 'nervios',tt0095675,['Félix Murcia'],['nm0613712'],,
1989,BestProductionDesign(MejorDirecciónArtística),Nominee,Berlín Blues,tt0094729,['Gerardo Vera'],['nm0893536'],,
1989,BestProductionDesign(MejorDirecciónArtística),Nominee,Jarrapellejos,tt0093297,['Rafael Palmero'],['nm0658520'],,
1989,BestProductionManager(MejorDireccióndeProducción),Winner,Remando al viento,tt0093840,['José G. Jacoste'],['nm0415065'],,
1989,BestProductionManager(MejorDireccióndeProducción),Nominee,Berlín Blues,tt0094729,['Emiliano Otegui'],['nm0652767'],,
1989,BestProductionManager(MejorDireccióndeProducción),Nominee,Mujeres al borde de un ataque de 'nervios',tt0095675,['Esther García'],['nm0306088'],,
1989,BestProductionManager(MejorDireccióndeProducción),Nominee,Pasodoble,tt0095830,['Marisol Carnicero'],['nm0138862'],,
1989,BestProductionManager(MejorDireccióndeProducción),Nominee,El Dorado,tt0095053,['Víctor Albarrán'],['nm0006564'],,
1989,BestSound(MejorSonido),Winner,Berlín Blues,tt0094729,"['Carlos Faruolo', 'Enrique Molinero']","['nm0268601', 'nm0596878']",,
1989,BestSound(MejorSonido),Nominee,Pasodoble,tt0095830,"['Daniel Goldstein', 'Ricardo Steinberg']","['nm0326149', 'nm0825367']",,
1989,BestSound(MejorSonido),Nominee,Remando al viento,tt0093840,"['Daniel Goldstein', 'Ricardo Steinberg']","['nm0326149', 'nm0825367']",,
1989,BestSound(MejorSonido),Nominee,El Dorado,tt0095053,['Gilles Ortion'],['nm0651031'],,
1989,BestSound(MejorSonido),Nominee,Mujeres al borde de un ataque de 'nervios',tt0095675,['Gilles Ortion'],['nm0651031'],,
1989,BestSpecialEffects(MejoresEfectosEspeciales),Winner,"Slugs, muerte viscosa",tt0093995,"['Gonzalo Gonzalo', 'Basilio Cortijo', 'Carlo De Marchis']","['nm0327812', 'nm0181435', 'nm0210061']",,
1989,BestSpecialEffects(MejoresEfectosEspeciales),Nominee,El Lute II: mañana seré libre,tt0095559,['Alberto Nombela Núñez'],['nm0634555'],,
1989,BestSpecialEffects(MejoresEfectosEspeciales),Nominee,El Dorado,tt0095053,['Reyes Abades'],['nm0007614'],,
1989,BestSpecialEffects(MejoresEfectosEspeciales),Nominee,Mujeres al borde de un ataque de 'nervios',tt0095675,['Reyes Abades'],['nm0007614'],,
1989,BestSpecialEffects(MejoresEfectosEspeciales),Nominee,Remando al viento,tt0093840,['Reyes Abades'],['nm0007614'],,
1989,BestSupportingActor(MejorActordeReparto),Winner,Espérame en el cielo,tt0092982,,,José Sazatornil,nm0768574
1989,BestSupportingActor(MejorActordeReparto),Nominee,Baton Rouge,tt0094822,,,Ángel de Andrés López,nm0029278
1989,BestSupportingActor(MejorActordeReparto),Nominee,Mujeres al borde de un ataque de 'nervios',tt0095675,,,Guillermo Montesinos,nm0599640
1989,BestSupportingActor(MejorActordeReparto),Nominee,Remando al viento,tt0093840,,,José Luis Gómez,nm0351133
1989,BestSupportingActor(MejorActordeReparto),Nominee,El Lute II: mañana seré libre,tt0095559,,,Jorge Sanz,nm0764450
1989,BestSupportingActress(MejorActrizdeReparto),Winner,Mujeres al borde de un ataque de 'nervios',tt0095675,,,María Barranco,nm0056686
1989,BestSupportingActress(MejorActrizdeReparto),Nominee,Espérame en el cielo,tt0092982,,,Chus Lampreave,nm0483942
1989,BestSupportingActress(MejorActrizdeReparto),Nominee,Mujeres al borde de un ataque de 'nervios',tt0095675,,,Julieta Serrano,nm0785565
1989,BestSupportingActress(MejorActrizdeReparto),Nominee,Baton Rouge,tt0094822,,,Laura Cepeda,nm0148387
1989,BestSupportingActress(MejorActrizdeReparto),Nominee,Diario de invierno,tt0095015,,,Terele Pávez,nm0701715
1989,Honorary(Honorifico),Winner,,,,,Imperio Argentina,nm0034477
1990,BestAdaptedScreenplay(MejorGuiónAdaptado),Winner,El sueño del mono loco,tt0098407,"['Fernando Trueba', 'Manolo Matji', 'Menno Meyjes']","['nm0874096', 'nm0559120', 'nm0583675']",,
1990,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,El mar y el tiempo,tt0097831,['Fernando Fernán Gómez'],['nm0273178'],,
1990,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,Bajarse al moro,tt0094705,"['José Luis Alonso de Santos', 'Joaquín Oristrell', 'Fernando Colomo']","['nm0022110', 'nm0649875', 'nm0173101']",,
1990,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,Esquilache,tt0095115,"['Josefina Molina', 'Joaquín Oristrell', 'José Sámano']","['nm0596712', 'nm0649875', 'nm0759657']",,
1990,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,Si te dicen que caí,tt0098324,['Vicente Aranda'],['nm0033005'],,
1990,BestAnimatedFilm(MejorPelículadeAnimación),Winner,Los 4 músicos de Bremen,tt0096742,[],[],,
1990,BestCinematography(MejorFotografía),Winner,El sueño del mono loco,tt0098407,['José Luis Alcaine'],['nm0003900'],,
1990,BestCinematography(MejorFotografía),Nominee,El niño de la luna,tt0097986,['Jaume Peracaula'],['nm0672678'],,
1990,BestCinematography(MejorFotografía),Nominee,Esquilache,tt0095115,['Juan Amorós'],['nm0025280'],,
1990,BestCinematography(MejorFotografía),Nominee,La noche oscura,tt0097998,['Teo Escamilla'],['nm0005700'],,
1990,BestCinematography(MejorFotografía),Nominee,Montoyas y Tarantos,tt0097909,['Teo Escamilla'],['nm0005700'],,
1990,BestCostumeDesign(MejorDiseñodeVestuario),Winner,El niño de la luna,tt0097986,"['Montse Amenós', 'Isidre Prunés']","['nm0024604', 'nm0699264']",,
1990,BestCostumeDesign(MejorDiseñodeVestuario),Nominee,Montoyas y Tarantos,tt0097909,['Alfonso Barajas'],['nm1052115'],,
1990,BestCostumeDesign(MejorDiseñodeVestuario),Nominee,La noche oscura,tt0097998,['Ana Alvargonzález'],['nm0023342'],,
1990,BestCostumeDesign(MejorDiseñodeVestuario),Nominee,Si te dicen que caí,tt0098324,['Marcelo Grande'],['nm0334813'],,
1990,BestCostumeDesign(MejorDiseñodeVestuario),Nominee,Las cosas del querer,tt0097113,"['María Luisa Zabala', 'José María García Montes']","['nm0951355', 'nm0305761']",,
1990,BestDirector(MejorDirector),Winner,El sueño del mono loco,tt0098407,,,Fernando Trueba,nm0874096
1990,BestDirector(MejorDirector),Nominee,El niño de la luna,tt0097986,,,Agustí Villaronga,nm0898063
1990,BestDirector(MejorDirector),Nominee,El mar y el tiempo,tt0097831,,,Fernando Fernán Gómez,nm0273178
1990,BestDirector(MejorDirector),Nominee,Esquilache,tt0095115,,,Josefina Molina,nm0596712
1990,BestDirector(MejorDirector),Nominee,Si te dicen que caí,tt0098324,,,Vicente Aranda,nm0033005
1990,BestEditing(MejorMontaje),Winner,El sueño del mono loco,tt0098407,['Carmen Frías'],['nm0297015'],,
1990,BestEditing(MejorMontaje),Nominee,Esquilache,tt0095115,['Pablo G. del Amo'],['nm0215327'],,
1990,BestEditing(MejorMontaje),Nominee,Montoyas y Tarantos,tt0097909,['José Antonio Rojo'],['nm0737932'],,
1990,BestEditing(MejorMontaje),Nominee,El mar y el tiempo,tt0097831,['Pablo G. del Amo'],['nm0215327'],,
1990,BestEditing(MejorMontaje),Nominee,La noche oscura,tt0097998,['Pedro del Rey'],['nm0215811'],,
1990,BestEditing(MejorMontaje),Nominee,El niño de la luna,tt0097986,['Raúl Román'],['nm0739828'],,
1990,BestFilm(MejorPelícula),Winner,El sueño del mono loco,tt0098407,"['X y Z Desarrollos', 'French Production', 'Sofica Valor']","['', '', '']",,
1990,BestFilm(MejorPelícula),Nominee,El mar y el tiempo,tt0097831,['Ion Producciones'],[''],,
