Year,Category,Status,Person,PersonId,Movie,MovieId,AssociatedPeople,AssociatedIds
1934,BestAssistantDirector,Nominee,Al Alleborn,nm0020168,Sid Brod,,,
1934,BestAssistantDirector,Nominee,Sid Brod,nm0110762,Orville O. Dull,,,
1934,BestAssistantDirector,Nominee,Orville O. Dull,nm0241338,Percy Ikerd,,,
1934,BestAssistantDirector,Nominee,Percy Ikerd,nm0407503,Arthur Jacobson,,,
1934,BestAssistantDirector,Nominee,Arthur Jacobson,nm0414797,Edward Killy,,,
1934,BestAssistantDirector,Nominee,Edward Killy,nm0453245,Joseph A. McDonough,,,
1934,BestAssistantDirector,Nominee,Joseph A. McDonough,nm0568156,William J. Reiter,,,
1934,BestAssistantDirector,Nominee,William J. Reiter,nm0718614,Frank Shaw,,,
1934,BestAssistantDirector,Nominee,Frank Shaw,nm0789719,Ben Silvey,,,
1934,BestAssistantDirector,Nominee,Ben Silvey,nm0799185,John Waters,,,
1934,BestAssistantDirector,Nominee,John Waters,nm0914112,Charles Lang,,,
1934,BestCinematography,Winner,,,Adiós a las armas,tt0022879,['Charles Lang'],['nm0485702']
1934,BestCinematography,Nominee,,,Reunión,tt0024496,['George J. Folsey'],['nm0005706']
1934,BestCinematography,Nominee,,,El signo de la cruz,tt0023470,['Karl Struss'],['nm0835365']
1934,BestDirector,Winner,Frank Lloyd,nm0515979,Cabalgata,tt0023876,,
1934,BestDirector,Nominee,Frank Capra,nm0001008,Dama por un día,tt0024240,,
1934,BestDirector,Nominee,George Cukor,nm0002030,Las cuatro hermanitas,tt0024264,,
1934,BestPicture,Winner,,,Cabalgata,tt0023876,[],[]
1934,BestPicture,Nominee,,,La calle 42,tt0024034,[],[]
1934,BestPicture,Nominee,,,Adiós a las armas,tt0022879,[],[]
1934,BestPicture,Nominee,,,Soy un fugitivo,tt0023042,[],[]
1934,BestPicture,Nominee,,,Dama por un día,tt0024240,['Columbia'],['']
1934,BestPicture,Nominee,,,Las cuatro hermanitas,tt0024264,[],[]
1934,BestPicture,Nominee,,,La vida privada de Enrique VIII,tt0024473,[],[]
1934,BestPicture,Nominee,,,Lady Lou,tt0024548,[],[]
1934,BestPicture,Nominee,,,La llama eterna,tt0023488,[],[]
1934,BestPicture,Nominee,,,La feria de la vida,tt0024610,[],[]
1934,"BestShortSubject,Cartoons",Winner,,,Los tres cerditos,tt0024660,['Walt Disney'],['nm0000370']
1934,"BestShortSubject,Cartoons",Nominee,,,Construyendo un edificio,tt0023854,['Walt Disney'],['nm0000370']
1934,"BestShortSubject,Cartoons",Nominee,,,The Merry Old Soul,tt0142655,['Walter Lantz'],['nm0487237']
1934,"BestShortSubject,Comedy",Winner,,,So This Is Harris,tt0024580,['Lou Brock'],['nm0110607']
1934,"BestShortSubject,Comedy",Nominee,,,Mister Mugg,tt0024342,['Warren Doane'],['nm0229553']
